target_id,on_ofac_sdn,on_eu_fsf,on_uk_fcdo,on_un_sc,list_count,coverage_class,sole_list,schema,typology,country,added_year,dq_missing_dob,dq_name_translit,dq_mononym,dq_cross_source_conflict,dq_stale,dq_any
NK-000074,True,False,False,False,1,single-list,OFAC SDN,Organization,Other regional,Other,2019,False,False,False,False,False,False
NK-000075,True,False,False,False,1,single-list,OFAC SDN,Person,Other regional,Venezuela,2018,False,False,False,False,False,False
NK-000076,True,False,False,False,1,single-list,OFAC SDN,Person,Narcotics/TCO/Trafficking,China,2022,False,False,False,False,False,False
NK-000077,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,Venezuela,2024,False,False,False,False,False,False
NK-000078,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Russia,2023,False,False,False,False,False,False
NK-000079,True,False,False,False,1,single-list,OFAC SDN,Organization,Counter-terrorism,Nicaragua,2021,False,False,False,False,False,False
NK-000080,True,False,False,False,1,single-list,OFAC SDN,Person,Iran/DPRK proliferation,Russia,2022,False,False,False,False,False,False
NK-000081,True,False,False,False,1,single-list,OFAC SDN,Person,Cyber,Afghanistan,2024,False,False,False,False,False,False
NK-000082,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Other,2023,False,False,False,False,False,False
NK-000083,True,False,False,False,1,single-list,OFAC SDN,Person,Narcotics/TCO/Trafficking,Other,2025,True,False,False,False,False,True
NK-000084,True,False,False,False,1,single-list,OFAC SDN,Person,Iran/DPRK proliferation,Myanmar,2024,False,False,False,False,False,False
NK-000085,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,Yemen,2023,False,False,False,False,False,False
NK-000086,True,False,False,False,1,single-list,OFAC SDN,Organization,Counter-terrorism,Russia,2025,False,False,False,False,False,False
NK-000087,True,False,False,False,1,single-list,OFAC SDN,Organization,Human rights/Corruption,China,2025,False,False,False,False,False,False
NK-000088,True,False,False,False,1,single-list,OFAC SDN,Person,Russia/Ukraine,Iran,2025,False,False,False,False,False,False
NK-000089,True,False,False,False,1,single-list,OFAC SDN,Vessel,Narcotics/TCO/Trafficking,Iran,2018,False,False,False,False,False,False
NK-000090,True,False,False,False,1,single-list,OFAC SDN,Person,Other regional,China,2022,False,False,False,False,False,False
NK-000091,True,False,False,False,1,single-list,OFAC SDN,Person,Narcotics/TCO/Trafficking,Iran,2026,False,False,False,False,False,False
NK-000092,True,False,False,False,1,single-list,OFAC SDN,Person,Narcotics/TCO/Trafficking,Russia,2026,False,False,False,False,False,False
NK-000093,True,False,False,False,1,single-list,OFAC SDN,Organization,Other regional,China,2021,False,False,False,False,False,False
NK-000094,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Lebanon,2023,False,False,False,False,False,False
NK-000095,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Russia,2021,False,False,False,False,False,False
NK-000096,True,False,False,False,1,single-list,OFAC SDN,Person,Russia/Ukraine,Russia,2022,False,False,False,False,False,False
NK-000097,True,False,False,False,1,single-list,OFAC SDN,Organization,Human rights/Corruption,Russia,2021,False,False,False,False,False,False
NK-000098,True,False,False,False,1,single-list,OFAC SDN,Vessel,Narcotics/TCO/Trafficking,Russia,2022,False,False,False,False,False,False
NK-000099,True,False,False,False,1,single-list,OFAC SDN,Person,Iran/DPRK proliferation,Russia,2025,False,False,False,False,False,False
NK-000100,True,False,False,False,1,single-list,OFAC SDN,Organization,Cyber,North Korea,2018,False,False,False,False,False,False
NK-000101,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Russia,2019,False,False,False,False,False,False
NK-000102,True,False,False,False,1,single-list,OFAC SDN,Person,Counter-terrorism,UAE,2023,False,False,False,False,False,False
NK-000103,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Other,2023,False,False,False,False,False,False
NK-000104,True,False,False,False,1,single-list,OFAC SDN,Organization,Counter-terrorism,Belarus,2022,False,False,False,False,False,False
NK-000105,True,False,False,False,1,single-list,OFAC SDN,Person,Other regional,Yemen,2020,False,False,False,False,False,False
NK-000106,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Russia,2024,False,False,False,False,False,False
NK-000107,True,False,False,False,1,single-list,OFAC SDN,Organization,Other regional,Afghanistan,2018,False,False,False,False,False,False
NK-000108,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,Lebanon,2025,False,False,False,False,False,False
NK-000109,True,False,False,False,1,single-list,OFAC SDN,Person,Counter-terrorism,Russia,2024,False,False,False,False,False,False
NK-000110,True,False,False,False,1,single-list,OFAC SDN,CryptoWallet,Russia/Ukraine,Syria,2023,False,False,False,False,False,False
NK-000111,True,False,False,False,1,single-list,OFAC SDN,Person,Russia/Ukraine,Iran,2025,False,False,False,False,False,False
NK-000112,True,False,False,False,1,single-list,OFAC SDN,Vessel,Cyber,Syria,2024,False,False,False,False,False,False
NK-000113,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Lebanon,2025,False,False,False,False,False,False
NK-000114,True,False,False,False,1,single-list,OFAC SDN,Person,Russia/Ukraine,Sudan,2025,False,False,False,False,False,False
NK-000115,True,False,False,False,1,single-list,OFAC SDN,Vessel,Russia/Ukraine,Iran,2024,False,False,False,False,False,False
NK-000116,True,False,False,False,1,single-list,OFAC SDN,Vessel,Iran/DPRK proliferation,Lebanon,2020,False,False,False,False,False,False
NK-000117,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,Ukraine,2025,False,False,False,False,False,False
NK-000118,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,Russia,2025,False,False,False,False,False,False
NK-000119,True,False,False,False,1,single-list,OFAC SDN,Person,Narcotics/TCO/Trafficking,Russia,2024,False,False,False,False,False,False
NK-000120,True,False,False,False,1,single-list,OFAC SDN,Organization,Cyber,Ukraine,2026,False,False,False,False,False,False
NK-000121,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Russia,2025,False,False,False,False,False,False
NK-000122,True,False,False,False,1,single-list,OFAC SDN,Person,Narcotics/TCO/Trafficking,Other,2018,False,False,False,False,False,False
NK-000123,True,False,False,False,1,single-list,OFAC SDN,Person,Narcotics/TCO/Trafficking,UAE,2023,False,False,False,False,False,False
NK-000124,True,False,False,False,1,single-list,OFAC SDN,Person,Narcotics/TCO/Trafficking,UAE,2025,False,False,True,False,False,True
NK-000125,True,False,False,False,1,single-list,OFAC SDN,CryptoWallet,Other regional,Libya,2020,False,False,False,False,False,False
NK-000126,True,False,False,False,1,single-list,OFAC SDN,Person,Russia/Ukraine,Russia,2019,False,False,False,False,False,False
NK-000127,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Russia,2022,False,False,False,False,False,False
NK-000128,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Lebanon,2025,False,False,False,False,False,False
NK-000129,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,China,2025,False,False,False,False,False,False
NK-000130,True,False,False,False,1,single-list,OFAC SDN,Organization,Counter-terrorism,Syria,2024,False,False,False,False,False,False
NK-000131,True,False,False,False,1,single-list,OFAC SDN,Organization,Human rights/Corruption,Russia,2023,False,False,False,False,False,False
NK-000132,True,False,False,False,1,single-list,OFAC SDN,Vessel,Cyber,Other,2024,False,False,False,False,False,False
NK-000133,True,False,False,False,1,single-list,OFAC SDN,Organization,Human rights/Corruption,Russia,2023,False,False,False,False,False,False
NK-000134,True,False,False,False,1,single-list,OFAC SDN,CryptoWallet,Other regional,Russia,2023,False,False,False,False,False,False
NK-000135,True,False,False,False,1,single-list,OFAC SDN,Person,Narcotics/TCO/Trafficking,China,2026,False,False,False,False,False,False
NK-000136,True,False,False,False,1,single-list,OFAC SDN,Organization,Other regional,Belarus,2018,False,False,False,False,False,False
NK-000137,True,False,False,False,1,single-list,OFAC SDN,Person,Narcotics/TCO/Trafficking,Iraq,2025,False,False,True,False,False,True
NK-000138,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Venezuela,2020,False,False,False,False,False,False
NK-000139,True,False,False,False,1,single-list,OFAC SDN,Person,Other regional,Syria,2021,False,False,False,False,False,False
NK-000140,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Russia,2022,False,False,False,False,False,False
NK-000141,True,False,False,False,1,single-list,OFAC SDN,Organization,Counter-terrorism,Russia,2018,False,False,False,False,False,False
NK-000142,True,False,False,False,1,single-list,OFAC SDN,Vessel,Russia/Ukraine,Russia,2018,False,False,False,False,False,False
NK-000143,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,Myanmar,2022,False,False,False,False,False,False
NK-000144,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Iran,2024,False,False,False,False,False,False
NK-000145,True,False,False,False,1,single-list,OFAC SDN,Organization,Counter-terrorism,Russia,2023,False,False,False,False,False,False
NK-000146,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Myanmar,2026,False,False,False,False,False,False
NK-000147,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,Syria,2024,False,False,False,False,False,False
NK-000148,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,China,2022,False,False,False,False,False,False
NK-000149,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Libya,2025,False,False,False,False,False,False
NK-000150,True,False,False,False,1,single-list,OFAC SDN,Person,Human rights/Corruption,Other,2024,True,False,False,False,False,True
NK-000151,True,False,False,False,1,single-list,OFAC SDN,Organization,Other regional,Iran,2020,False,False,False,False,False,False
NK-000152,True,False,False,False,1,single-list,OFAC SDN,CryptoWallet,Narcotics/TCO/Trafficking,Russia,2023,False,False,False,False,False,False
NK-000153,True,False,False,False,1,single-list,OFAC SDN,Person,Other regional,Other,2019,False,False,False,False,False,False
NK-000154,True,False,False,False,1,single-list,OFAC SDN,Person,Russia/Ukraine,Russia,2023,False,False,False,False,False,False
NK-000155,True,False,False,False,1,single-list,OFAC SDN,Person,Narcotics/TCO/Trafficking,Sudan,2023,False,False,False,False,False,False
NK-000156,True,False,False,False,1,single-list,OFAC SDN,Organization,Human rights/Corruption,Russia,2024,False,False,False,False,False,False
NK-000157,True,False,False,False,1,single-list,OFAC SDN,Vessel,Narcotics/TCO/Trafficking,Other,2023,False,False,False,False,False,False
NK-000158,True,False,False,False,1,single-list,OFAC SDN,Organization,Counter-terrorism,Iran,2018,False,False,False,False,False,False
NK-000159,True,False,False,False,1,single-list,OFAC SDN,CryptoWallet,Russia/Ukraine,Russia,2023,False,False,False,False,False,False
NK-000160,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Iran,2026,False,False,False,False,False,False
NK-000161,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,Belarus,2022,False,False,False,False,False,False
NK-000162,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Belarus,2025,False,False,False,False,False,False
NK-000163,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Russia,2025,False,False,False,False,False,False
NK-000164,True,False,False,False,1,single-list,OFAC SDN,Person,Narcotics/TCO/Trafficking,Other,2019,False,False,False,False,False,False
NK-000165,True,False,False,False,1,single-list,OFAC SDN,Organization,Human rights/Corruption,Myanmar,2024,False,False,False,False,False,False
NK-000166,True,False,False,False,1,single-list,OFAC SDN,Organization,Other regional,China,2020,False,False,False,False,False,False
NK-000167,True,False,False,False,1,single-list,OFAC SDN,Person,Other regional,Other,2023,False,False,False,False,False,False
NK-000168,True,False,False,False,1,single-list,OFAC SDN,Aircraft,Other regional,Russia,2018,False,False,False,False,False,False
NK-000169,True,False,False,False,1,single-list,OFAC SDN,Vessel,Counter-terrorism,Russia,2023,False,False,False,False,False,False
NK-000170,True,False,False,False,1,single-list,OFAC SDN,Vessel,Russia/Ukraine,China,2023,False,False,False,False,False,False
NK-000171,True,False,False,False,1,single-list,OFAC SDN,Person,Russia/Ukraine,Syria,2023,False,False,False,False,False,False
NK-000172,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Iran,2025,False,False,False,False,False,False
NK-000173,True,False,False,False,1,single-list,OFAC SDN,Person,Russia/Ukraine,Libya,2022,False,False,False,False,False,False
NK-000174,True,False,False,False,1,single-list,OFAC SDN,Person,Narcotics/TCO/Trafficking,Syria,2022,True,False,False,False,False,True
NK-000175,True,False,False,False,1,single-list,OFAC SDN,CryptoWallet,Other regional,Syria,2020,False,False,False,False,False,False
NK-000176,True,False,False,False,1,single-list,OFAC SDN,Person,Narcotics/TCO/Trafficking,Ukraine,2024,False,False,False,False,False,False
NK-000177,True,False,False,False,1,single-list,OFAC SDN,Person,Narcotics/TCO/Trafficking,Ukraine,2026,False,True,False,False,False,True
NK-000178,True,False,False,False,1,single-list,OFAC SDN,Person,Other regional,Yemen,2019,False,False,False,False,False,False
NK-000179,True,False,False,False,1,single-list,OFAC SDN,Organization,Counter-terrorism,Other,2018,False,False,False,False,False,False
NK-000180,True,False,False,False,1,single-list,OFAC SDN,Person,Iran/DPRK proliferation,Myanmar,2025,False,False,False,False,False,False
NK-000181,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Other,2022,False,False,False,False,False,False
NK-000182,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Russia,2026,False,False,False,False,False,False
NK-000183,True,False,False,False,1,single-list,OFAC SDN,Organization,Other regional,Venezuela,2022,False,False,False,False,False,False
NK-000184,True,False,False,False,1,single-list,OFAC SDN,Person,Iran/DPRK proliferation,Russia,2019,False,False,False,False,False,False
NK-000185,True,False,False,False,1,single-list,OFAC SDN,Person,Other regional,Afghanistan,2022,False,False,False,False,False,False
NK-000186,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,UAE,2025,False,False,False,False,False,False
NK-000187,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Russia,2021,False,False,False,False,False,False
NK-000188,True,False,False,False,1,single-list,OFAC SDN,Organization,Other regional,Ukraine,2018,False,False,False,False,False,False
NK-000189,True,False,False,False,1,single-list,OFAC SDN,Organization,Human rights/Corruption,Afghanistan,2024,False,False,False,False,False,False
NK-000190,True,False,False,False,1,single-list,OFAC SDN,Person,Human rights/Corruption,China,2022,False,False,False,False,False,False
NK-000191,True,False,False,False,1,single-list,OFAC SDN,Person,Russia/Ukraine,Ukraine,2023,False,False,True,False,False,True
NK-000192,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Other,2026,False,False,False,False,False,False
NK-000193,True,False,False,False,1,single-list,OFAC SDN,CryptoWallet,Other regional,Syria,2023,False,False,False,False,False,False
NK-000194,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Belarus,2023,False,False,False,False,False,False
NK-000195,True,False,False,False,1,single-list,OFAC SDN,Organization,Counter-terrorism,Ukraine,2018,False,False,False,False,False,False
NK-000196,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Syria,2025,False,False,False,False,False,False
NK-000197,True,False,False,False,1,single-list,OFAC SDN,Organization,Cyber,Russia,2023,False,False,False,False,False,False
NK-000198,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Venezuela,2022,False,False,False,False,False,False
NK-000199,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Russia,2022,False,False,False,False,False,False
NK-000200,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,Russia,2021,False,False,False,False,False,False
NK-000201,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,Afghanistan,2022,False,False,False,False,False,False
NK-000202,True,False,False,False,1,single-list,OFAC SDN,Organization,Counter-terrorism,Russia,2023,False,False,False,False,False,False
NK-000203,True,False,False,False,1,single-list,OFAC SDN,Organization,Counter-terrorism,Iraq,2026,False,False,False,False,False,False
NK-000204,True,False,False,False,1,single-list,OFAC SDN,Person,Other regional,Iran,2021,False,False,False,False,False,False
NK-000205,True,False,False,False,1,single-list,OFAC SDN,Person,Human rights/Corruption,Russia,2022,False,False,False,False,False,False
NK-000206,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Myanmar,2018,False,False,False,False,False,False
NK-000207,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Iran,2025,False,False,False,False,False,False
NK-000208,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Russia,2026,False,False,False,False,False,False
NK-000209,True,False,False,False,1,single-list,OFAC SDN,Person,Counter-terrorism,Venezuela,2024,False,False,False,False,False,False
NK-000210,True,False,False,False,1,single-list,OFAC SDN,Organization,Other regional,Ukraine,2019,False,False,False,False,False,False
NK-000211,True,False,False,False,1,single-list,OFAC SDN,Organization,Human rights/Corruption,Myanmar,2024,False,False,False,False,False,False
NK-000212,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Ukraine,2023,False,False,False,False,False,False
NK-000213,True,False,False,False,1,single-list,OFAC SDN,Organization,Counter-terrorism,Other,2026,False,False,False,False,False,False
NK-000214,True,False,False,False,1,single-list,OFAC SDN,Organization,Other regional,UAE,2023,False,False,False,False,False,False
NK-000215,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,Iran,2024,False,False,False,False,False,False
NK-000216,True,False,False,False,1,single-list,OFAC SDN,Person,Russia/Ukraine,Russia,2023,False,False,False,False,False,False
NK-000217,True,False,False,False,1,single-list,OFAC SDN,Person,Cyber,Venezuela,2026,False,False,True,False,False,True
NK-000218,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,Nicaragua,2024,False,False,False,False,False,False
NK-000219,True,False,False,False,1,single-list,OFAC SDN,Person,Other regional,Syria,2018,False,False,False,False,False,False
NK-000220,True,False,False,False,1,single-list,OFAC SDN,Organization,Cyber,North Korea,2025,False,False,False,False,False,False
NK-000221,True,False,False,False,1,single-list,OFAC SDN,Person,Counter-terrorism,Russia,2018,False,True,False,False,False,True
NK-000222,True,False,False,False,1,single-list,OFAC SDN,Person,Cyber,UAE,2025,False,False,False,False,False,False
